date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
20000103,11,11.3125,11,3800,-0.00565,10.75,11.125,11.3125,-0.00565,-0.006803,-0.00681,0.002878,0.00286,-0.009549
20000104,10.5625,10.8125,10.75,9700,-0.022727,10.4375,11,10.75,-0.022727,-0.039652,-0.039679,-0.017465,-0.017486,-0.038345
20000105,10.5625,10.8125,10.8125,3600,0.005814,10.4375,11,10.5625,0.005814,-0.000935,-0.001009,0.007821,0.007743,0.001922
20000106,10.5,10.6875,10.6875,5800,-0.011561,10.375,10.875,10.5,-0.011561,-0.007391,-0.007547,0.004504,0.004453,0.000956
20000107,10.625,10.75,10.625,19300,-0.005848,10.5,10.875,10.75,-0.005848,0.032516,0.032514,0.017008,0.016991,0.02709
20000110,10.875,11.125,11,10000,0.035294,10.75,11.125,10.9375,0.035294,0.018608,0.018588,0.015333,0.015316,0.01119
20000111,11.0625,11.25,11.0625,11000,0.005682,10.75,11.375,11.0625,0.005682,-0.016941,-0.016963,-0.006079,-0.006089,-0.013063
20000112,10.75,10.9375,10.875,5400,-0.016949,10.75,11.125,10.75,-0.016949,-0.006922,-0.006989,-0.002505,-0.002685,-0.004386
20000113,10.875,11,10.9375,207500,0.005747,10.75,11.125,10.875,0.005747,0.016265,0.016254,0.013063,0.012991,0.01217
20000114,11.0625,11.25,11.25,13800,0.028571,11,11.375,11.0625,0.028571,0.011137,0.011135,0.009119,0.009105,0.010671
20000118,11,11.25,11.25,13200,0,11,11.375,11.125,0,-0.00086,-0.000872,0.01204,0.012003,-0.006832
20000119,10.875,11.0625,11,6300,-0.022222,10.75,11.125,11,-0.022222,0.004631,0.004597,0.008125,0.008104,0.000522
20000120,10.9375,11.1875,11.0625,6700,0.005682,10.75,11.25,11.1875,0.005682,-0.002801,-0.00281,0.003468,0.003447,-0.007095
20000121,10.9375,11.125,10.9375,3200,-0.011299,10.75,11.25,11,-0.011299,0.002655,0.002643,0.008277,0.008257,-0.002912
20000124,10.625,10.875,10.625,27500,-0.028571,10.375,10.75,10.75,-0.028571,-0.025311,-0.025318,-0.002527,-0.002542,-0.027634
20000125,10.5625,10.75,10.6875,13500,0.005882,10.375,10.875,10.75,0.005882,0.005547,0.005546,0.00087,0.000862,0.006065
20000126,10.625,10.8125,10.75,6100,0.005848,10.375,10.875,10.625,0.005848,-0.00453,-0.004563,0.003851,0.003789,-0.004213
20000127,10.75,10.8125,10.75,5300,0,10.5,10.875,10.8125,0,-0.003521,-0.003599,-0.002202,-0.002345,-0.003938
